Name,Date Published,Description,Rating,Rating Count,Content Rating,Genre(s),Keywords
Toy Story 3,2010-07-29,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it&apos;s up to Woody to convince the other toys that they weren&apos;t abandoned and to return home.",8.3,849579,M/6,"Animation,Adventure,Comedy","toy,evil teddy bear,recycling,sheriff,janitor"
We Go in at Dawn,2020-03-16,"When a high-ranking war planner is captured and held in a German prisoner of war camp, a team of specialists take on the dangerous mission of trying to break him out. Trouble is, he doesn&apos;t want to be rescued.",3.5,355,,"History,Thriller,War",prisoner
Home from the Hill,1960-03-19,Dramatic story of the influential Hunnicutt family set in Texas during the late 1950s.,7.4,3578,Passed,"Drama,Romance","texas,womanizer,melodrama,illegitimacy,based on novel"
Wait Until Dark,1967-10-26,,7.7,31843,M/12,Thriller,"apartment,panic,blind woman,heroin,doll"
Song of Old Wyoming,1945-10-12,,6.6,93,Approved,Western,"b western,cattle herd"
Dear Zachary: A Letter to a Son About His Father,2015-12-14,,8.5,38106,Not Rated,"Documentary,Biography,Crime","child custody,filicide,loss of son,older woman younger man relationship,pregnancy"
Torn Curtain,1967-11-07,,6.6,27948,M/12,"Drama,Romance,Thriller","stasi,nobility,engaged couple,asphyxiation,doctor"
Invitation to the Dance,1956-12-11,"Three different stories are told through a notably unusual way - no words, just dance.",6.4,953,,"Animation,Fantasy,Musical","tumbling,parrot,open air market,ringing a bell,laughing audience"
Nancy Drew... Reporter,1942-09-10,,6.5,1363,Approved,"Comedy,Crime,Family","nancy drew,man in drag,character name as title,three word title,boxing gym"
The Comedians,1969-09-19,,6.3,2219,Approved,Drama,"reference to harry s. truman,haiti,arms dealer,rebel,poverty"
Cowboy and the Senorita,1944-05-13,"Bad guy Craig Allen, gambler and town boss, tries to take a gold mine inherited by innocent Chip Williams on her seventeenth birthday. Roy and his pal &apos;Teddy&apos; Bear ride to help the girl and her cousin.",5.7,296,Passed,"Drama,Music,Western","casino,fiesta,singing cowboy,b western"
Wives Under Suspicion,1939-03-29,,6,492,Passed,"Crime,Drama,Romance","reporter,prison,jealousy,execution,district attorney"
Logan&apos;s Run,1978-03-03,A police officer in the future uncovers the deadly secret behind a society that worships youth.,6.8,58545,PG,"Action,Adventure,Sci-Fi","cat,domed city,fugitive,biosphere,future shock"
Pete Kelly&apos;s Blues,1957-08-27,"In 1927, a Kansas City, Missouri cornet player and his band perform nightly at a seedy speakeasy until a racketeer tries to extort them in exchange for protection.",6.3,1412,Not Rated,"Crime,Drama,Music","kansas city missouri,psychotronic film,jazz,homosexual subtext,roaring twenties"
The Battle of the River Plate,1957-10-24,"In the first major naval battle of World War II, the British Navy must find and destroy a powerful German warship.",6.6,4617,Not Rated,"Action,Adventure,Drama","sinking ship,montevideo uruguay,naval warfare,german abroad,ship&apos;s crew"
Zardoz,1977-05-13,"In the late 23rd century, a savage trained only to kill finds a way into the community of bored immortals that alone preserves humanity&apos;s achievements.",5.8,23433,R,"Adventure,Fantasy,Sci-Fi","post apocalypse,23rd century,hairy chest,old man,old woman"
To the Devil a Daughter,,,5.8,4553,R,Horror,"evil priest,deal with the devil,priest,occult,satanic cult"
Dementia 13,2017-10-06,"At a wealthy family estate, extortionists go after their matriarch and her inheritance while a ghost and and ax-wielding figure lurk in the shadows.",4.4,1032,Unrated,"Fantasy,Horror,Mystery","psychotronic film,2010s,estate,mansion,manor"
The Odd Couple,1968-10-09,,7.6,36000,Passed,Comedy,"friends who live together,buddy movie,divorced man,male couple,friendship between men"
California Scheming,2014-01-31,"A teen seductress pulls three other privileged Malibu kids into her devious scheme, and unforeseen consequences force the group to face their own fears and mortality.",3.4,736,R,"Drama,Thriller","bare chested male,malibu,beach,seagull,pool"
The House That Dripped Blood,1971-02-21,An anthology of four horror stories revolving around a mysterious rental house in the U.K.,6.5,6760,PG,"Drama,Fantasy,Horror","anthology,breaking the fourth wall,fear,fire,flashback"
Ill Met by Moonlight,1957-03-04,,6.5,1749,Unrated,"Action,Adventure,Drama","crete,partisan,world war two,nazi occupation,british army"
And One Was Beautiful,1940-04-05,A woman lets a family friend take the blame after she accidentally runs over a man with a car.,6.5,272,Passed,"Drama,Romance","male female relationship,witness,trial,tomboy,sister"
The Outcasts of Poker Flat,1937-04-16,,5.9,224,Passed,"Drama,Western","prospector,remake,classical western,orphan"
Under the Doctor,,"A British sex comedy about a doctor, a bevy of beautiful women and their sexual problems. Can the overworked and over-titillated doctor help his patients while resisting the urge to help himself?",4.3,139,,Comedy,"sex comedy,erotica,erotic 70s,panties,simulated sex"
Since You Went Away,1945-04-03,"With her husband away to fight in World War II, a housewife must care for their two daughters alone.",7.5,4770,Approved,"Drama,Romance,War","victory garden,all star cast,marriage engagement,high school graduation,u.s. marine"
Super Fly,,The daily routine of cocaine dealer Priest who wants to score one more super deal and retire.,6.4,8088,R,"Action,Crime,Drama","blaxploitation film,grindhouse film,police car,directorial debut,slow motion scene"
L.A. Confidential,1997-11-14,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",8.2,590341,M/12,"Crime,Drama,Mystery","corruption,neo noir,1950s,murder,call girl"
G.I. Blues,1961-03-01,"Tulsa, a soldier with dreams of running his own nightclub, places a bet with his friend Dynamite that he can win the heart of an untouchable dancer...but when Dynamite is transferred, Tulsa must replace him in the bet.",6.2,4150,PG,"Comedy,Musical","u.s. soldier,american in europe,tank crew,army training,psychotronic film"
Murder Will Out,,"Loder and Baxter become immersed in intrigue after receiving a costly jade. As they look for assistance in saving their skins, all their leads disappear, including the man who had given them the jade.",5.2,15,,"Crime,Drama",lost film
Strange Alibi,1941-04-19,"In a pre-arranged set-up, a cop strikes his police-chief, is fired and infiltrates the mob but when the police-chief is murdered, the ex-cop is unable to prove his innocence and is left-out in the cold, on the wrong side of the law.",6,134,Passed,"Crime,Drama,Film-Noir","manhunt,grand jury,escape from prison,vindication,held at gunpoint"
Kissin&apos; Cousins,1965-08-07,,5.2,2338,Approved,"Comedy,Musical,Romance","foot fetish,psychotronic film,look alike,identical cousins,song"
